City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,bamboo flat,11.7,92.7167,32.05,66,40,2.57,IN,1746854088
286,chonchi,-42.6128,-73.8092,12.29,97,100,1.88,CL,1746854089
287,kirovo-chepetsk,58.5539,50.0399,10.27,55,100,4.52,RU,1746854091
288,jinchang,38.4953,102.1739,19.82,8,0,2.04,CN,1746854092
289,al faw,29.9776,48.4741,31.5,28,0,6.18,IQ,1746854093
290,ilebo,-4.3167,20.5833,20.4,88,97,0.67,CD,1746854094
291,bereeda,11.8704,51.0579,30.28,56,60,1.09,SO,1746854095
292,humaita,-7.5061,-63.0208,25.68,80,100,0.34,BR,1746854096
293,domat,46.8348,9.4508,5.75,86,1,1.95,CH,1746854097
294,shingu,33.7333,135.9833,21.96,86,100,4.86,JP,1746854098
295,dryden,49.7833,-92.7503,8.02,60,8,2.92,CA,1746854099
296,port lincoln,-34.7333,135.8667,19.87,44,2,2.95,AU,1746854100
297,namsos,64.4662,11.4957,6.95,87,100,4.12,NO,1746854101
298,chilecito,-29.1619,-67.4974,13.01,59,6,1.86,AR,1746854103
299,balikpapan,-1.2675,116.8289,30.55,74,20,1.03,ID,1746854104
300,ciudad lazaro cardenas,17.9583,-102.2,25.57,76,15,1.93,MX,1746854105
301,kerben,40.2951,72.1863,21.07,52,1,2.32,KG,1746854106
302,mutoko,-17.397,32.2268,12.25,58,0,1.23,ZW,1746854107
303,kidal,18.4411,1.4078,28.91,10,0,1.33,ML,1746854108
304,zhezqazghan,47.7833,67.7667,21.32,49,20,6.0,KZ,1746854109
305,boguchar,49.9358,40.545,8.04,88,83,7.21,RU,1746854110
306,newman,37.3138,-121.0208,23.92,61,0,0.45,US,1746854111
307,lakatoro,-16.0999,167.4164,27.79,80,100,1.67,VU,1746854112
308,itamaraca,-7.7478,-34.8256,24.77,84,74,3.86,BR,1746854114
309,ouadda,8.0777,22.4007,24.2,45,76,1.39,CF,1746854115
310,ouani,-12.1322,44.4258,27.63,74,80,2.4,KM,1746854116
311,aldinga beach,-35.2793,138.4604,22.02,57,0,1.65,AU,1746854117
312,staraya russa,57.9944,31.3608,4.51,68,39,3.67,RU,1746854118
313,puerto madryn,-42.7692,-65.0385,10.2,55,76,5.12,AR,1746854119
314,holualoa,19.6228,-155.9522,21.25,92,56,1.28,US,1746854120
